"Merit No.","MHT-CET Score","Branch","Gender","Candidate Category","Seat Type","College Name","Application ID"
"112751","55.0733859","Civil Engineering","M","OPEN","^ GOPENH","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24313924"
"129923","44.8929536","Civil Engineering","M","OBC$","^ GOPENH","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24319885"
"151738","28.8690743","Civil Engineering","M","OBC$","^ GOPENH","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24329702"
"158111","24.0053974","Civil Engineering","M","OPEN"," GOPENH","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24322848"
"171943","9.9567819","Civil Engineering","M","OPEN","^ GOPENH","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24163221"
"172074","9.8530334","Civil Engineering","M","OBC","^ GOPENH","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24328889"
"82076","70.2544031","Civil Engineering","M","OPEN"," GOPENO","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24317834"
"175584","5.8257220","Civil Engineering","M","NT 3 (NT-D)","~ GOPENO","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24299249"
"76562","72.5041736","Computer Engineering","M","NT 2 (NT-C)","^ GOPENH","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24204478"
"80711","70.5215521","Computer Engineering","F","OBC$#","- LOPENH","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24289287"
"88848","67.0458361","Computer Engineering","F","OPEN","^ GOPENH","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24277592"
"102362","60.5030966","Computer Engineering","F","OPEN","& LOPENH","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24319781"
"105958","58.5786927","Computer Engineering","M","OPEN","^ GOPENH","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24128078"
"110147","56.9588351","Computer Engineering","F","NT 2 (NT-C)$","^LNT2H","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24123071"
"113043","54.7526673","Computer Engineering","M","SC","^ GOPENH","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24247253"
"114799","54.0550229","Computer Engineering","F","SC","^LSCH","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24151395"
"115091","53.8203081","Computer Engineering","F","OPEN","- LOPENH","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24121876"
"120329","50.8618056","Computer Engineering","F","OPEN","^ GOPENH","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24167052"
"121382","50.0957604","Computer Engineering","M","NT 2 (NT-C)","^ GOPENH","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24266163"
"122713","49.6193645","Computer Engineering","M","SC","~ GOPENH","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24192125"
"123044","49.5130960","Computer Engineering","F","OPEN","@LOPENH","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24313567"
"124345","48.6138054","Computer Engineering","M","OPEN","-LSTH","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24215457"
"125282","47.9076668","Computer Engineering","F","OPEN"," GSTH","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24131454"
"125826","47.4576949","Computer Engineering","F","OBC","^ LOBCH","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24153758"
"127321","46.3828235","Computer Engineering","F","SEBC$#","- LSEBCH","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24311886"
"127648","46.3657898","Computer Engineering","M","OPEN","& PWDOPEΝΗ","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24166657"
"127840","46.3188381","Computer Engineering","F","OPEN","& GOPENH","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24324369"
"129688","45.3423263","Computer Engineering","M","NT 2 (NT-C)","* GNT2H","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24133041"
"132637","43.1231034","Computer Engineering","F","SEBC$#","& GSEBCH","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24252613"
"136525","40.2848342","Computer Engineering","M","SC"," GSCH","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24207575"
"139283","38.7773761","Computer Engineering","M","SC","AGSCH","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24171050"
"139508","38.7773761","Computer Engineering","M","SEBC$","~ GSEBCH","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24124489"
"140914","37.6014199","Computer Engineering","M","DT/VJ","-LVJH","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24303217"
"142187","36.6283954","Computer Engineering","F","SC$"," GSCH","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24159632"
"143888","35.2166182","Computer Engineering","M","OBC"," GOBCH","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24228563"
"144587","34.8052940","Computer Engineering","M","OBC$#","- GOBCH","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24317701"
"145227","34.5790896","Computer Engineering","M","OBC"," GOBCH","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24300111"
"148669","31.6234334","Computer Engineering","M","DT/VJ$","AGVJH","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24315822"
"149149","31.3198919","Computer Engineering","F","OBC","- LOBCH","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24311844"
"155666","25.6745674","Computer Engineering","M","SBC$#","~ GOBCH","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24287804"
"170199","11.8827852","Computer Engineering","F","NT 1 (NT-B)","~LNT1H","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24273191"
"129789","44.8929536","Computer Engineering","F","SEBC$","* GSEBCH","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24324333"
"86130","68.2901694","Computer Engineering","F","OPEN","- LOPENO","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24125693"
"117267","52.5184688","Computer Engineering","M","OBC$","@GOPENO","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24309523"
"120903","50.6340761","Computer Engineering","M","SEBC","@GOPENO","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24161850"
"130715","44.4778985","Computer Engineering","F","SEBC$"," LOPENO","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24318596"
"132662","43.1231034","Computer Engineering","M","OPEN","& LSTO","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24255411"
"135822","40.9947600","Computer Engineering","F","OPEN","* GSEBCO","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24153462"
"137142","40.1066152","Computer Engineering","M","OBC","& GOBCO","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24289710"
"154360","27.4048925","Computer Engineering","M","SC$"," GSCO","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24320715"
"166201","16.2423214","Computer Engineering","F","OBC","& GOBCO","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24155017"
"146394","33.5585964","Computer Engineering","F","SC","*LSCO","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24280991"
"71559","74.4421543","Computer Engineering","M","OPEN","& DEFOPENS","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24257443"
"101263","60.6237408","Computer Engineering","F","OPEN","* EWS","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24248238"
"110347","56.8466110","Computer Engineering","M","OPEN"," EWS","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24161775"
"114346","54.0859766","Computer Engineering","M","OPEN","- EWS","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24252915"
"115474","53.7694785","Computer Engineering","F","OPEN","- EWS","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24161319"
"116290","53.5178490","Computer Engineering","F","OPEN","~EWS","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24292260"
"117916","52.0861037","Computer Engineering","F","OPEN","EWS","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24310181"
"67585","76.1268781","Computer Engineering","M","OPEN"," TFWS","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24290260"
"84460","69.0659616","Computer Engineering","F","OPEN","ATFWS","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24250241"
"106687","58.1158577","Computer Engineering","F","OBC$","^ TFWS","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24306091"
"61684","78.2152555","Electronics and Telecommunication Engg","M","SEBC$","^ GOPENH","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24163484"
"116077","53.5178490","Electronics and Telecommunication Engg","M","NT 2 (NT-C)","^ GOPENH","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24197749"
"129757","44.8929536","Electronics and Telecommunication Engg","M","SC$","^ GOPENH","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24314280"
"141470","37.2130338","Electronics and Telecommunication Engg","M","NT 3 (NT-D)","* GOPENH","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24278027"
"143181","35.6703287","Electronics and Telecommunication Engg","F","OPEN","~ LOPENH","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24307208"
"147009","32.8923205","Electronics and Telecommunication Engg","F","OBC","& LOBCH","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24157440"
"147640","32.1785112","Electronics and Telecommunication Engg","F","OPEN","& GOPENH","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24276613"
"156239","25.5139718","Electronics and Telecommunication Engg","F","OPEN","^ LOPENH","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24314403"
"157327","24.4231968","Electronics and Telecommunication Engg","M","OPEN","- GOPENH","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24311394"
"158412","23.9858471","Electronics and Telecommunication Engg","M","OPEN","& GOPENH","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24155885"
"167050","15.4906838","Electronics and Telecommunication Engg","M","OBC","* GOPENH","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24142747"
"171478","10.8656299","Electronics and Telecommunication Engg","F","NT 2 (NT-C)","^ LOPENH","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24196340"
"174014","7.7921536","Electronics and Telecommunication Engg","F","NT 2 (NT-C)","^ LOPENH","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24303295"
"174249","7.4966420","Electronics and Telecommunication Engg","F","NT 2 (NT-C)","& GOPENH","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24283392"
"176317","4.8593455","Electronics and Telecommunication Engg","M","OBC"," GOBCH","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24265897"
"125450","47.6302148","Electronics and Telecommunication Engg","M","OPEN","& GOPENO","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24281336"
"151862","28.8690743","Electronics and Telecommunication Engg","M","DT/VJ"," GOPENO","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24295407"
"178438","1.8070756","Electronics and Telecommunication Engg","M","NT 2 (NT-C)"," GOPENO","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24305376"
"136027","40.9947600","Electronics and Telecommunication Engg","F","SEBC$"," LOPENO","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24305983"
"143093","35.6703287","Electronics and Telecommunication Engg","F","NT 2 (NT-C)","- LNT20","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24292864"
"165369","16.8882979","Electronics and Telecommunication Engg","M","NT 2 (NT-C)"," GOPENO","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24308192"
"189205","0.9572868","Electronics and Telecommunication Engg","F","OPEN","AI","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24251971"
"103687","60.1504384","Electronics and Telecommunication Engg","M","OPEN"," EWS","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24111494"
"123746","48.7779490","Electronics and Telecommunication Engg","M","OPEN"," EWS","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24211545"
"148400","31.6884901","Electronics and Telecommunication Engg","F","OPEN"," EWS","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24154642"
"151497","29.1560732","Electronics and Telecommunication Engg","M","OPEN","EWS","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24262773"
"156285","25.5139718","Electronics and Telecommunication Engg","M","OPEN"," EWS","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24202634"
"161385","21.0368242","Electronics and Telecommunication Engg","F","OPEN","EWS","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24141490"
"143649","35.3791065","Mechanical Engineering","F","OBC$","& LOPENH","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24203279"
"166486","15.9989858","Mechanical Engineering","M","OPEN","& GOPENH","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24115218"
"153420","27.8154230","Mechanical Engineering","M","OBC","GOPENO","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24168183"
"92312","65.4406319","Artificial Intelligence and Data Science","F","OPEN","^ LOPENH","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24271827"
"93184","65.2878345","Artificial Intelligence and Data Science","M","OBC","- GOPENH","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24227117"
"115899","53.7424491","Artificial Intelligence and Data Science","M","OPEN","- GOPENH","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24118200"
"124872","47.9842799","Artificial Intelligence and Data Science","F","NT 1 (NT-B)","#GOPENH","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24276074"
"126546","47.0113809","Artificial Intelligence and Data Science","M","OBC","* GOPENH","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24208738"
"130407","44.5064233","Artificial Intelligence and Data Science","F","SEBC$","* LSEBCH","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24307716"
"133602","42.2216419","Artificial Intelligence and Data Science","M","OBC","* GOPENH","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24284948"
"139710","38.5392182","Artificial Intelligence and Data Science","M","SC","* GOPENH","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24105568"
"141591","36.9291471","Artificial Intelligence and Data Science","F","SC$","- LOPENH","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24319294"
"142574","36.2134011","Artificial Intelligence and Data Science","M","OPEN"," GOPENH","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24156873"
"144923","34.8002089","Artificial Intelligence and Data Science","M","SC$","& GSCH","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24320433"
"145805","34.1954023","Artificial Intelligence and Data Science","F","OPEN","& LOBCH","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24117220"
"149534","30.9687071","Artificial Intelligence and Data Science","F","NT 2 (NT-C)"," LOPENH","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24293227"
"163106","19.1366185","Artificial Intelligence and Data Science","M","SC","^ GOPENH","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24227458"
"164368","18.1477824","Artificial Intelligence and Data Science","M","OPEN","& GNT2H","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24303600"
"164971","17.7533973","Artificial Intelligence and Data Science","M","OPEN","^ PWDOPEΝΗ","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24115633"
"168863","13.6336642","Artificial Intelligence and Data Science","F","SC$","& LSCH","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24318297"
"172108","9.6685964","Artificial Intelligence and Data Science","M","OPEN","& GOBCH","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24307843"
"178505","1.7504672","Artificial Intelligence and Data Science","F","NT 1 (NT-B)$","& GNT1H","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24285025"
"148232","31.6884901","Artificial Intelligence and Data Science","M","OPEN","GOPENH","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24316345"
"100412","61.3261708","Artificial Intelligence and Data Science","M","OPEN","* GOPENO","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24229096"
"104244","60.0743746","Artificial Intelligence and Data Science","M","OPEN","& GOPENO","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24271638"
"134644","42.1597155","Artificial Intelligence and Data Science","F","OPEN","- LOPENO","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24306036"
"139369","38.7773761","Artificial Intelligence and Data Science","M","OPEN","& GOPENO","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24231320"
"147556","32.2475132","Artificial Intelligence and Data Science","M","OPEN","& GOBCO","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24156499"
"152912","28.0884374","Artificial Intelligence and Data Science","M","OPEN","* GSEBCO","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24301763"
"160416","21.6221843","Artificial Intelligence and Data Science","M","OBC$#","@GOBCO","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24302106"
"162158","20.1344161","Artificial Intelligence and Data Science","M","SC","& GSCO","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24193975"
"175862","5.2422847","Artificial Intelligence and Data Science","M","SC","& GSCO","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24142541"
"128296","46.2784017","Artificial Intelligence and Data Science","M","OPEN","& DEFOPENS","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24114089"
"153359","46.5102928","Artificial Intelligence and Data Science","M","OPEN","AI","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24273464"
"177868","19.5522021","Artificial Intelligence and Data Science","F","OPEN","AI","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24174069"
"131183","43.9565943","Artificial Intelligence and Data Science","M","OPEN","* EWS","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24160651"
"133392","42.7253460","Artificial Intelligence and Data Science","F","OPEN","*EWS","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24308730"
"144756","34.8052940","Artificial Intelligence and Data Science","F","OPEN","- EWS","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24214681"
"162422","19.5522021","Artificial Intelligence and Data Science","M","OPEN","& EWS","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24163767"
"87509","67.6869909","Artificial Intelligence and Data Science","M","OPEN","ATFWS","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24314318"
"122045","50.0353239","Artificial Intelligence and Data Science","F","OBC","- TFWS","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24302260"
"141003","37.6014199","Artificial Intelligence and Data Science","F","OPEN","& TFWS","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24291703"
"70910","74.6830629","Civil Engineering","M","OPEN","& GOPENH","CSMSS Chh. Shahu College of Engineering, Aurangabad","EN24188301"
"83918","69.2754730","Civil Engineering","M","SEBC$"," GOPENH","CSMSS Chh. Shahu College of Engineering, Aurangabad","EN24144789"
"87241","67.8440824","Civil Engineering","M","SC","^ GOPENH","CSMSS Chh. Shahu College of Engineering, Aurangabad","EN24128138"
"91167","65.8812284","Civil Engineering","M","OPEN"," GOPENH","CSMSS Chh. Shahu College of Engineering, Aurangabad","EN24192861"
"92062","65.5460439","Civil Engineering","M","OBC","^ GOPENH","CSMSS Chh. Shahu College of Engineering, Aurangabad","EN24258726"
"96470","63.2340107","Civil Engineering","M","SC","~ PWDOPEΝΗ","CSMSS Chh. Shahu College of Engineering, Aurangabad","EN24317674"
"96839","63.0759599","Civil Engineering","M","OBC","^ GOPENH","CSMSS Chh. Shahu College of Engineering, Aurangabad","EN24300176"
"102389","60.5030966","Civil Engineering","M","NT 3 (NT-D)","& GOPENH","CSMSS Chh. Shahu College of Engineering, Aurangabad","EN24196895"
"105030","59.8892661","Civil Engineering","M","DT/VJ","* GSTH","CSMSS Chh. Shahu College of Engineering, Aurangabad","EN24112133"
"107977","57.3310702","Civil Engineering","M","OPEN","& GSTH","CSMSS Chh. Shahu College of Engineering, Aurangabad","EN24318981"
"112650","55.0733859","Civil Engineering","M","OPEN"," GOPENH","CSMSS Chh. Shahu College of Engineering, Aurangabad","EN24115841"
"116420","53.5178490","Civil Engineering","F","DT/VJ$#","* LOPENH","CSMSS Chh. Shahu College of Engineering, Aurangabad","EN24317752"
"116508","52.9935209","Civil Engineering","M","OPEN","- GOPENH","CSMSS Chh. Shahu College of Engineering, Aurangabad","EN24205356"
"116897","52.8148790","Civil Engineering","F","OPEN","~ LOPENH","CSMSS Chh. Shahu College of Engineering, Aurangabad","EN24301825"
"117764","52.2046883","Civil Engineering","F","SEBC$","- LOPENH","CSMSS Chh. Shahu College of Engineering, Aurangabad","EN24241900"
"119102","51.2783205","Civil Engineering","F","OPEN","^ LOPENH","CSMSS Chh. Shahu College of Engineering, Aurangabad","EN24255943"
"121028","50.6004122","Civil Engineering","M","SEBC"," GSEBCH","CSMSS Chh. Shahu College of Engineering, Aurangabad","EN24294246"
"121604","50.0957604","Civil Engineering","F","SEBC","^ LSEBCH","CSMSS Chh. Shahu College of Engineering, Aurangabad","EN24295292"
"123079","49.5130960","Civil Engineering","M","OBC","- GOBCH","CSMSS Chh. Shahu College of Engineering, Aurangabad","EN24242225"
"124914","47.9842799","Civil Engineering","F","OBC","- LOBCH","CSMSS Chh. Shahu College of Engineering, Aurangabad","EN24234471"
"131440","43.9565943","Civil Engineering","M","SC"," GSCH","CSMSS Chh. Shahu College of Engineering, Aurangabad","EN24283165"
"134701","42.1597155","Civil Engineering","F","SEBC","^ GSEBCH","CSMSS Chh. Shahu College of Engineering, Aurangabad","EN24157513"
"134918","41.8427081","Civil Engineering","F","NT 2 (NT-C)#"," LNT2H","CSMSS Chh. Shahu College of Engineering, Aurangabad","EN24308799"
"135486","41.0394031","Civil Engineering","M","SC","AGSCH","CSMSS Chh. Shahu College of Engineering, Aurangabad","EN24279919"
"136739","40.2848342","Civil Engineering","M","SC"," GSCH","CSMSS Chh. Shahu College of Engineering, Aurangabad","EN24138093"
"140831","37.6881791","Civil Engineering","F","NT 3 (NT-D)","^ LNT3H","CSMSS Chh. Shahu College of Engineering, Aurangabad","EN24205211"
"141871","36.6611018","Civil Engineering","F","OBC","- LOBCH","CSMSS Chh. Shahu College of Engineering, Aurangabad","EN24153150"
"142960","36.0381755","Civil Engineering","F","DT/VJ$#","AGVJH","CSMSS Chh. Shahu College of Engineering, Aurangabad","EN24321595"
"143390","35.5925864","Civil Engineering","F","SC","~LSCH","CSMSS Chh. Shahu College of Engineering, Aurangabad","EN24154375"
"147192","32.8344132","Civil Engineering","M","SC","& GSCH","CSMSS Chh. Shahu College of Engineering, Aurangabad","EN24206114"
"150616","30.3265615","Civil Engineering","M","OBC","- GOBCH","CSMSS Chh. Shahu College of Engineering, Aurangabad","EN24225992"
"155844","25.6482713","Civil Engineering","M","OBC","~ PWDOBCH","CSMSS Chh. Shahu College of Engineering, Aurangabad","EN24203284"
"160556","21.4924132","Civil Engineering","M","OBC"," GOBCH","CSMSS Chh. Shahu College of Engineering, Aurangabad","EN24280074"
"109951","56.9588351","Civil Engineering","M","NT 2 (NT-C)$#","GOPENO","CSMSS Chh. Shahu College of Engineering, Aurangabad","EN24134577"
"111382","55.8763225","Civil Engineering","M","OPEN","* GOPENO","CSMSS Chh. Shahu College of Engineering, Aurangabad","EN24299469"
"112195","55.2318816","Civil Engineering","M","NT 3 (NT-D)","& GOPENO","CSMSS Chh. Shahu College of Engineering, Aurangabad","EN24285665"
"120754","50.6340761","Civil Engineering","M","NT 3 (NT-D)"," GOPENO","CSMSS Chh. Shahu College of Engineering, Aurangabad","EN24159672"
"135150","41.3261276","Civil Engineering","F","SEBC$","* LOPENO","CSMSS Chh. Shahu College of Engineering, Aurangabad","EN24316764"
"137245","40.1066152","Civil Engineering","F","SEBC$"," LSEBCO","CSMSS Chh. Shahu College of Engineering, Aurangabad","EN24249813"
"137834","39.5390798","Civil Engineering","M","SBC","& GOBCO","CSMSS Chh. Shahu College of Engineering, Aurangabad","EN24207505"
"138975","38.8659877","Civil Engineering","M","NT 2 (NT-C)","AGSTO","CSMSS Chh. Shahu College of Engineering, Aurangabad","EN24117549"
"141144","37.6014199","Civil Engineering","M","SC"," GSCO","CSMSS Chh. Shahu College of Engineering, Aurangabad","EN24234844"
"150272","30.8111882","Civil Engineering","M","NT 1 (NT-B)","- GNT10","CSMSS Chh. Shahu College of Engineering, Aurangabad","EN24227774"
"155161","26.1271353","Civil Engineering","M","OBC","- LOBCO","CSMSS Chh. Shahu College of Engineering, Aurangabad","EN24317627"
"155579","25.6745674","Civil Engineering","M","NT 2 (NT-C)","- GNT20","CSMSS Chh. Shahu College of Engineering, Aurangabad","EN24320090"
"158641","23.9454765","Civil Engineering","F","SC","ALSCO","CSMSS Chh. Shahu College of Engineering, Aurangabad","EN24267431"
"162108","20.7289199","Civil Engineering","M","DT/VJ","AGVJO","CSMSS Chh. Shahu College of Engineering, Aurangabad","EN24291646"
"135871","40.9947600","Civil Engineering","F","SEBC","GSEBCO","CSMSS Chh. Shahu College of Engineering, Aurangabad","EN24293499"
"110001","56.9588351","Civil Engineering","M","SC"," DEFOPENS","CSMSS Chh. Shahu College of Engineering, Aurangabad","EN24107616"
"128152","46.2784017","Civil Engineering","F","OBC","& DEFOBCS","CSMSS Chh. Shahu College of Engineering, Aurangabad","EN24220786"
"128180","46.2784017","Civil Engineering","M","OPEN","^ ORPHAN","CSMSS Chh. Shahu College of Engineering, Aurangabad","EN24296706"
"117325","52.5184688","Civil Engineering","M","OPEN"," EWS","CSMSS Chh. Shahu College of Engineering, Aurangabad","EN24284368"
"124369","48.6138054","Civil Engineering","M","OPEN"," EWS","CSMSS Chh. Shahu College of Engineering, Aurangabad","EN24234796"
"154189","27.4155342","Civil Engineering","M","OPEN"," EWS","CSMSS Chh. Shahu College of Engineering, Aurangabad","EN24293961"
"171716","10.3145909","Civil Engineering","M","OPEN"," EWS","CSMSS Chh. Shahu College of Engineering, Aurangabad","EN24241769"
"65972","76.6199764","Civil Engineering","F","OBC","& TFWS","CSMSS Chh. Shahu College of Engineering, Aurangabad","EN24247998"
"84430","69.2652564","Civil Engineering","M","OPEN","ATFWS","CSMSS Chh. Shahu College of Engineering, Aurangabad","EN24123740"
"98428","62.8351694","Civil Engineering","M","DT/VJ","^ TFWS","CSMSS Chh. Shahu College of Engineering, Aurangabad","EN24276866"
"23190","92.2993808","Computer Science and Engineering","M","OPEN","^ GOPENH","CSMSS Chh. Shahu College of Engineering, Aurangabad","EN24304981"
"29772","89.9513776","Computer Science and Engineering","F","SEBC$","^ LOPENH","CSMSS Chh. Shahu College of Engineering, Aurangabad","EN24309244"
